R_angstrom,Vnn_Ha,E_HF_Ha,E_FCI_Ha
0.30,1.7639240364,-0.5938277585,-0.6018037108
0.40,1.3229430273,-0.9043613942,-0.9141497046
0.50,1.0583544218,-1.0429962745,-1.0551597945
0.60,0.8819620182,-1.1011282423,-1.1162860069
0.70,0.7559674442,-1.1173490350,-1.1361894541
0.74,0.7151043391,-1.1167593074,-1.1372838345
0.80,0.6614715137,-1.1108503975,-1.1341476667
0.90,0.5879746788,-1.0919140410,-1.1205602813
1.00,0.5291772109,-1.0661086493,-1.1011503302
1.20,0.4409810091,-1.0051067066,-1.0567407463
1.40,0.3779837221,-0.9414806547,-1.0154682493
1.60,0.3307357568,-0.8817324499,-0.9834727290
1.80,0.2939873394,-0.8288481479,-0.9618169528
2.00,0.2645886055,-0.7837926543,-0.9486411122
2.50,0.2116708844,-0.7029435997,-0.9360549200
3.00,0.1763924036,-0.6560482511,-0.9336318446
4.00,0.1322943027,-0.6148699740,-0.9331713618
5.00,0.1058354422,-0.5990248715,-0.9331637619
