angle_degrees,Vnn_Ha,E_HF_Ha,E_FCI_Ha
60.0,9.3864905944,-74.8690753850,-74.9277203494
65.0,9.3481603070,-74.8927654368,-74.9509175109
70.0,9.3156631167,-74.9124959090,-74.9697426561
75.0,9.2878439980,-74.9286250310,-74.9847338422
80.0,9.2638378261,-74.9414223065,-74.9962957064
85.0,9.2429841929,-74.9511155973,-75.0047510426
90.0,9.2247706271,-74.9579143181,-75.0103712460
95.0,9.2087937552,-74.9620196893,-75.0133939383
100.0,9.1947321254,-74.9636288868,-75.0140335106
105.0,9.1823268082,-74.9629371537,-75.0124882433
110.0,9.1713673004,-74.9601400077,-75.0089460996
115.0,9.1616811209,-74.9554364938,-75.0035902895
120.0,9.1531260224,-74.9490338078,-74.9966051645
125.0,9.1455840900,-74.9411533222,-74.9881827654
130.0,9.1389572199,-74.9320378679,-74.9785302635
135.0,9.1331636243,-74.9219599046,-74.9678785070
140.0,9.1281351080,-74.9112297757,-74.9564918361
145.0,9.1238149350,-74.9002024916,-74.9446791276
150.0,9.1201561515,-74.8892803991,-74.9328055027
155.0,9.1171202661,-74.8789080258,-74.9213028897
160.0,9.1146762165,-74.8695553076,-74.9106751612
165.0,9.1127995668,-74.8616876314,-74.9014895205
170.0,9.1114718966,-74.8557259549,-74.8943415497
175.0,9.1106803525,-74.8520052212,-74.8897824783
180.0,9.1104173416,-74.8507403356,-74.8882133700
