angle_degrees,Vnn_Ha,E_HF_Ha,E_FCI_Ha
95.0,9.2087937552,-74.9620196893,-75.0133939383
96.0,9.2058372935,-74.9625349590,-75.0137059641
97.0,9.2029550028,-74.9629519525,-75.0139243423
98.0,9.2001447359,-74.9632722320,-75.0140506756
99.0,9.1974044346,-74.9634973572,-75.0140865447
100.0,9.1947321254,-74.9636288868,-75.0140335106
101.0,9.1921259153,-74.9636683789,-75.0138931159
102.0,9.1895839877,-74.9636173914,-75.0136668867
103.0,9.1871045991,-74.9634774835,-75.0133563344
104.0,9.1846860753,-74.9632502163,-75.0129629576
105.0,9.1823268082,-74.9629371537,-75.0124882433
106.0,9.1800252529,-74.9625398640,-75.0119336694
107.0,9.1777799246,-74.9620599204,-75.0113007057
108.0,9.1755893960,-74.9614989030,-75.0105908166
109.0,9.1734522947,-74.9608583996,-75.0098054619
110.0,9.1713673004,-74.9601400077,-75.0089460996
111.0,9.1693331434,-74.9593453356,-75.0080141873
112.0,9.1673486014,-74.9584760043,-75.0070111842
113.0,9.1654124983,-74.9575336494,-75.0059385532
114.0,9.1635237016,-74.9565199225,-75.0047977629
115.0,9.1616811209,-74.9554364938,-75.0035902895
